words,1,2,3,dop,l_en,r_en,score,diff_en,rep_words,dop1,l_en1,r_en1,diff_en1,score1
不值,1.6156707e-06,0.0020325137,1257.9999732612607,-8.483844,1.0413927,1.8750613,-5.5673895,-0.8336686,面前一不值,-6.543327,1.5682018,1.6334685,-0.06526670000000001,-3.3416567
还有就,1.6156707e-06,0.0013216187,818.0000149174019,-8.612078,2.3159704,0.47712126,-5.818986,1.8388491399999998,,,,,,
不符,1.6156707e-06,0.00075128686,464.99998381602614,-8.718585,2.4329693,1.1760913,-5.1095247,1.256878,不符合,-9.18256,1.845098,1.8325089,0.012589099999999798,-5.504953
太差劲,1.6156707e-06,0.000520246,322.000008162352,-7.1864867,1.9637878,1.462398,-3.760301,0.5013897999999999,差劲,-8.287073,1.5440681,1.7993406,-0.2552725,-4.943664
太过分了,1.6156707e-06,0.0004798542,297.00000070365104,-8.725937,2.0934217,1.4913617,-5.1411533,0.60206,过分了,-8.377354,1.30103,1.4149734,-0.11394340000000014,-5.6613503
不值得,1.6156707e-06,0.0004750072,294.0000019702229,-8.7743025,1.1760913,1.7853298,-5.8128815,-0.6092385,值不值,,,,,
最差,1.6156707e-06,0.00044269377,273.99999240056883,-9.124491,1.9590414,1.4149734,-5.750476,0.544068,,,,,,
好贵,1.6156707e-06,0.0003861453,238.9999891637741,-7.9505677,0.30103,1.968483,-5.6810546,-1.667453,好贵好贵,-6.951431,1.6627579,1.5910646,0.07169329999999996,-3.6976085
骗人的,7.875978e-06,0.0017190735999999998,218.2679665841737,-7.763851,0.7781513,1.50515,-5.48055,-0.7269987,是骗人,,,,,
太失望,1.6156707e-06,0.0003312125,205.0000035182552,-8.204784,2.089905,1.5314789,-4.5834007,0.5584260999999999,失望,-7.9202805,1.0,1.230449,-0.2304489999999999,-5.6898317
太恶心了,1.6156707e-06,0.00031505577,194.9999897266949,-8.509502,2.0211892,1.39794,-5.090373,0.6232491999999998,恶心了,,,,,
电了,1.6156707e-06,0.00029082072,179.99999605955418,-9.598168,1.748188,2.5092025,-5.340778,-0.7610144999999997,没电,-8.878954,1.8808136,2.1271048,-0.24629120000000015,-4.8710356
过期的,1.6156707e-06,0.00028758938,177.99999690393543,-6.7885547,0.0,1.0,-5.7885547,-1.0,快过期,,,,,
回应,1.6156707e-06,0.00027143267999999994,168.00000112584166,-8.540979,1.763428,1.1139433,-5.6636086,0.6494846999999999,回应称,-7.9727416,1.3424227,1.3222193,0.020203399999999982,-5.3080993
什么玩意,1.6156707e-06,0.00026497,164.00000281460413,-8.924186,1.8750613,1.30103,-5.7480946,0.5740313000000001,什么玩意儿,-7.0549498,2.2405493,2.2718415,-0.03129219999999977,-2.5425591
但是就,1.6156707e-06,0.00026497,164.00000281460413,-9.102863,2.10721,1.5910646,-5.4045887,0.5161453999999999,,,,,,
歪的,1.6156707e-06,0.00025689165,159.00000492555725,-8.914818,1.3222193,1.908485,-5.6841135,-0.5862657,歪歪,-8.094047,1.0413927,1.230449,-0.18905629999999984,-5.8222046
结果第二,1.6156707e-06,0.0002536603,157.00000576993847,-8.292281,2.0863597,1.146128,-5.059793,0.9402317,结果第二天,-7.435684,1.8325089,2.071882,-0.2393730999999999,-3.5312932
不要了,1.6156707e-06,0.00025204464,156.0000061921291,-9.0479,1.4771212,2.09691,-5.473869,-0.6197887999999998,脸都不要,,,,,
不理,1.6156707e-06,0.00024235061,149.9999997185396,-9.144499,1.5440681,2.075547,-5.5248833,-0.5314788999999998,狗不理,-9.234097,1.6232493,1.90309,-0.27984070000000005,-5.7077575
信了,1.6156707e-06,0.00024073494,149.00000014073018,-8.928853,1.20412,1.9956352,-5.729098,-0.7915151999999999,我信,,,,,
信用,1.6156707e-06,0.00024073494,149.00000014073018,-8.313605,0.47712126,2.1139433,-5.722541,-1.6368220399999998,阳光信用,-8.289353,1.763428,2.2455127,-0.4820846999999999,-4.2804127
真是够了,1.6156707e-06,0.0002375036,147.00000098511146,-8.508393,1.6812413,1.146128,-5.681024,0.5351132999999999,,,,,,
认了,1.6156707e-06,0.0002375036,147.00000098511146,-9.263132,1.690196,2.4132998,-5.1596365,-0.7231037999999999,承认,-9.4029045,1.9395193,1.6434526,0.2960666999999999,-5.8199325
个问题,1.6156707e-06,0.00023265659,144.0000022516833,-8.273592,0.845098,1.69897,-5.729524,-0.8538720000000001,这个问题,-9.13183,1.69897,1.7853298,-0.08635979999999988,-5.6475306
结果买,1.6156707e-06,0.00022942525,142.00000309606457,-8.716157,2.0606978,1.3802112,-5.275248,0.6804865999999998,,,,,,
出错,1.6156707e-06,0.0002261939,139.99999493371254,-8.567796,1.4149734,2.146128,-5.006695,-0.7311546,不会出错,-8.085486,1.1139433,1.3222193,-0.2082759999999999,-5.649324
又贵,1.6156707e-06,0.00022134687999999999,136.99999620028441,-8.909104,1.9395193,1.146128,-5.823457,0.7933912999999999,又贵又,-8.539414,1.7923917,1.4313638,0.36102790000000007,-5.3156586
0分,1.6156707e-06,0.00021811554,134.99999704466566,-8.800178,1.146128,1.9242793,-5.72977,-0.7781513,10分,-8.65457,1.30103,1.5314789,-0.23044890000000007,-5.8220606
一问,1.6156707e-06,0.00021811554,134.99999704466566,-8.672188,1.2552725,1.908485,-5.5084305,-0.6532125,问一问,-8.348081,1.5797836,1.7242758,-0.14449219999999996,-5.0440216
一拖再拖,1.6156707e-06,0.00021649987,133.99999746685629,-8.443171,1.5797836,1.0791812,-5.784206,0.5006024,,,,,,
也差,1.6156707e-06,0.00020842151999999998,128.99999957780938,-8.766485,2.7566361,1.8325089,-4.17734,0.9241272,差不多,-8.421426,1.3617278,1.30103,0.060697800000000024,-5.758668
没发货,1.6156707e-06,0.00020680585,128.0,-8.37534,1.4913617,2.0,-4.883979,-0.5086383000000001,还没发货,-8.264957,1.819544,1.9242793,-0.10473529999999998,-4.5211344
好说,1.6156707e-06,0.00020680585,128.0,-8.994715,1.39794,2.0334237,-5.5633507,-0.6354837000000002,有话好好说,-7.09889,1.690196,1.5910646,0.09913140000000009,-3.8176293
结果呢,1.6156707e-06,0.00020519018,127.00000042219062,-8.279069,1.80618,0.90309,-5.569799,0.90309,,,,,,
真的很不,1.6156707e-06,0.00020195883999999997,125.00000126657187,-8.834564,2.4727564,1.7160033,-4.6458044,0.7567531000000003,真的很不错,-7.3050036,2.7817554,2.460898,0.3208574000000004,-2.0623503
算好,1.6156707e-06,0.0001987275,123.0000021109531,-9.009321,1.462398,2.0374265,-5.5094967,-0.5750284999999999,还算好,-8.51658,1.50515,1.462398,0.0427519999999999,-5.5490317
混淆视听,2.5003104e-07,3.0697740000000005e-05,122.77572518936456,-8.413625,1.6232493,1.0413927,-5.748983,0.5818565999999998,,,,,,
用了两,1.6156707e-06,0.00019711183000000002,122.00000253314371,-8.522796,2.30103,1.447158,-4.7746077,0.853872,用了两年,-8.510043,1.7160033,1.30103,0.4149733,-5.4930096
真服了,1.6156707e-06,0.00019549616,121.00000295533434,-8.549951,1.20412,1.8129133,-5.532917,-0.6087932999999999,我真服,,,,,
了事,1.6156707e-06,0.00019549616,121.00000295533434,-9.383689,2.3201463,1.3802112,-5.683331,0.9399351000000002,事实上,-8.95062,1.7853298,1.4771212,0.30820859999999994,-5.6881685
百多,1.6156707e-06,0.00019226481,118.99999479298236,-9.003347,1.3222193,2.369216,-5.311912,-1.0469967000000002,两百多,-8.998024,1.5563025,1.6627579,-0.10645539999999998,-5.7789636
差劲了,1.6156707e-06,0.00019064914,117.99999521517296,-8.246161,0.845098,1.770852,-5.6302114,-0.9257540000000001,差劲,-8.287073,1.5440681,1.7993406,-0.2552725,-4.943664
不想说,1.6156707e-06,0.00019064914,117.99999521517296,-9.271614,2.1553361,1.5185139,-5.597764,0.6368221999999999,不想说话,-8.538382,1.8325089,1.3617278,0.4707811000000002,-5.344145
这样不,1.6156707e-06,0.00019064914,117.99999521517296,-9.055425,2.064458,1.5440681,-5.4468985,0.5203899000000001,这样不仅,-7.891117,1.763428,1.462398,0.3010299999999999,-4.6652913
发货时,1.6156707e-06,0.00018903346999999998,116.99999563736358,-8.345937,2.2253094,1.447158,-4.6734695,0.7781514,发货时间,-7.3955216,1.7403626,1.60206,0.13830260000000005,-4.053099
大不,1.6156707e-06,0.0001874178,115.99999605955419,-9.604761,2.4265113,1.4149734,-5.7632766,1.0115379,大不一样,-9.025592,1.6532125,2.0413928,-0.38818030000000014,-5.3309865
