words,1,2,3,dop,l_en,r_en,score,diff_en,rep_words,dop1,l_en1,r_en1,diff_en1,score1
宝贝不错,0.0014213014000000002,1.2501552e-07,11368.99975526262,-6.910378,0.0,2.1172712,-4.793107,-2.1172712,,,,,,
挺不错,0.0013165384,1.2501552e-07,10531.000083322107,-9.055432,2.1818435,1.3424227,-5.531166,0.8394207999999999,,,,,,
挺好用,0.0012925355,1.2501552e-07,10339.000105147272,-8.785052,2.0863597,1.0413927,-5.6572995,1.044967,,,,,,
很不错哦,0.0008468550999999999,1.2501552e-07,6773.999928386183,-8.929072,1.8260748,1.30103,-5.8019676,0.5250448000000001,,,,,,
特别舒服,0.00057069585,1.2501552e-07,4565.000063088363,-6.443877,0.0,0.7781513,-5.6657257,-0.7781513,着特别舒服,-7.29566,1.0791812,1.3424227,-0.2632414999999999,-4.874056
好快,0.00053294114,1.2501552e-07,4262.999864615785,-9.658221,2.2121875,1.6720978,-5.773936,0.5400897000000002,,,,,,
就行,0.00047218360000000003,1.2501552e-07,3776.9999198607284,-7.57339,1.447158,0.30103,-5.825202,1.146128,,,,,,
很喜欢的,0.00044480522000000004,1.2501552e-07,3558.000061155927,-8.953082,1.3222193,1.8260748,-5.8047876,-0.5038555,我很喜欢,-8.246727,1.20412,1.2787536,-0.07463359999999986,-5.763853
超好用,0.00043692922999999997,1.2501552e-07,3494.9999519164367,-7.4684215,0.47712126,1.30103,-5.69027,-0.8239087399999999,真的超好用,-7.516768,2.1931245,1.9822712,0.21085330000000013,-3.3413725
个了,0.00032166492999999996,1.2501552e-07,2573.0000567226903,-9.910094,1.69897,2.620136,-5.590988,-0.9211659999999999,那个,-8.929176,1.5314789,1.5797836,-0.04830470000000009,-5.817914
好用好用,0.00030591297999999997,1.2501552e-07,2447.0000710454533,-7.636327,1.20412,0.69897,-5.733237,0.5051500000000001,,,,,,
口感醇厚,0.00030341267,1.2501552e-07,2427.000073318908,-7.823977,1.4313638,1.94939,-4.4432235,-0.5180262,,,,,,
味道也好,0.00030253755,1.2501552e-07,2419.999957713746,-8.302078,1.8808136,1.1760913,-5.2451735,0.7047223,味道也好闻,-6.339376,1.7403626,1.8388491,-0.09848649999999992,-2.7601643
的很不错,0.00030016227000000004,1.2501552e-07,2401.0000762743994,-8.095309,0.7781513,1.6334685,-5.683689,-0.8553172,真的很不错,-7.3050036,2.7817554,2.460898,0.3208574000000004,-2.0623503
味道挺好,0.00026015728,1.2501552e-07,2080.9998798479287,-8.16973,1.5910646,1.0413927,-5.537273,0.5496718999999999,味道挺好闻,-6.4936357,1.447158,1.0413927,0.4057652999999999,-4.005085
很划算的,0.00025890712,1.2501552e-07,2070.999880984656,-8.459751,1.0791812,1.6127839,-5.767786,-0.5336026999999999,很划算,-8.372302,1.2552725,1.30103,-0.045757499999999895,-5.8159995
不错挺好,0.00023977977000000004,1.2501552e-07,1918.0000147774545,-8.199542,1.4771212,0.90309,-5.8193307,0.5740312000000001,,,,,,
想到,0.00023915468999999997,1.2501552e-07,1913.000015345818,-10.120187,1.8388491,2.462398,-5.8189397,-0.6235488999999999,没想到,-9.956074,1.8388491,2.307496,-0.4686469,-5.8097286
款式时尚,0.00023515418999999998,1.2501552e-07,1881.0000189833447,-8.088118,0.90309,1.5682018,-5.616826,-0.6651118,,,,,,
口感纯正,0.00022440286,1.2501552e-07,1795.0000287591995,-7.90198,1.1139433,1.7323937,-5.0556426,-0.6184504,,,,,,
正品保障,0.00022090242,1.2501552e-07,1767.0000319420362,-7.7307634,1.4313638,0.47712126,-5.822278,0.95424254,,,,,,
十分好,0.00021540174,1.2501552e-07,1723.000036943636,-8.6768265,1.9731278,1.4149734,-5.2887254,0.5581544,十分好奇,-7.2263713,1.6720978,1.60206,0.07003779999999993,-3.9522138
衣服很好,0.00020752577,1.2501552e-07,1660.0000441050174,-8.106586,1.80618,1.1139433,-5.1864634,0.6922366999999998,衣服很好看,-7.409723,1.7558749,1.770852,-0.014977100000000076,-3.8829956
棒了,0.00020327523999999998,1.2501552e-07,1626.0000479698904,-6.7714763,0.0,1.0791812,-5.692295,-1.0791812,,,,,,
了呢,0.00020265016,1.2501552e-07,1621.000048538254,-8.656199,2.3673558,0.47712126,-5.8117223,1.8902345399999998,呢L,-8.566567,1.4771212,1.30103,0.17609120000000011,-5.788416
性价比也,0.00020064991,1.2501552e-07,1605.0000503570175,-8.1544,2.217484,1.50515,-4.431766,0.7123339999999998,性价比也高,-7.322247,1.5440681,1.5185139,0.02555419999999997,-4.2596655
味道也还,0.00018277268,1.2501552e-07,1461.9999502113462,-8.249081,1.7242758,1.0791812,-5.445624,0.6450946,味道也还行,-7.3306274,1.20412,1.146128,0.057992000000000044,-4.980379
小时,0.00018002234,1.2501552e-07,1439.999952712146,-6.96599,0.30103,0.845098,-5.819862,-0.544068,半小时,-8.492156,1.39794,1.2787536,0.11918640000000003,-5.815462
质不错,0.00016777081999999998,1.2501552e-07,1341.999963852073,-8.569276,1.2552725,1.9590414,-5.3549623,-0.7037689,品质不错,-8.248681,1.3617278,1.5682018,-0.20647400000000005,-5.3187513
更完美了,0.00016327026000000002,1.2501552e-07,1305.9999679442913,-8.01043,0.9542425,1.690196,-5.3659916,-0.7359535,就更完美,,,,,
美观大气,0.000161145,1.2501552e-07,1288.9999698767274,-7.862295,1.462398,0.90309,-5.496807,0.5593080000000001,,,,,,
划算了,0.0001587697,1.2501552e-07,1269.9999720365095,-8.666466,1.2552725,1.8808136,-5.53038,-0.6255411,划算,-9.243486,1.9294189,1.50515,0.42426889999999995,-5.8089175
的很喜欢,0.00015589435,1.2501552e-07,1246.999974650982,-9.017556,1.3424227,2.1875207,-5.4876127,-0.8450979999999999,真的很喜欢,-7.7856717,2.7032914,2.8674674,-0.16417600000000032,-2.214913
颜色很好,0.00015426915,1.2501552e-07,1233.9999761287277,-8.11948,1.6627579,0.69897,-5.7577524,0.9637878999999999,颜色很好看,-7.252518,1.9912261,1.9190781,0.0721480000000001,-3.3422139
感还不错,0.00015139378999999998,1.2501552e-07,1210.9999787432002,-8.497205,1.1760913,1.819544,-5.5015697,-0.6434527000000001,口感还不错,-7.2174635,1.5910646,1.5910646,0.0,-4.0353346
颜色好,0.00014576809,1.2501552e-07,1165.9999838584731,-8.883344,2.1702616,1.4771212,-5.235961,0.6931403999999999,颜色好看,-8.649362,1.50515,1.5314789,-0.02632889999999999,-5.612733
东西很多,0.00014564308000000002,1.2501552e-07,1164.9999839721456,-8.034323,1.20412,1.968483,-4.8617196,-0.7643629999999999,,,,,,
家店,0.00014551806,1.2501552e-07,1163.9999840858184,-8.793541,1.3617278,2.1846914,-5.247122,-0.8229636000000002,这家店,-8.182675,1.146128,1.3617278,-0.2155997999999999,-5.6748195
点点,0.0001433928,1.2501552e-07,1146.9999860182547,-8.669795,1.0791812,1.7853298,-5.805284,-0.7061485999999999,一点点,-7.508072,0.7781513,0.90309,-0.12493869999999996,-5.8268304
了很好,0.00013951732,1.2501552e-07,1115.9999895421092,-9.124803,2.2648177,1.7323937,-5.127591,0.532424,很好看,-8.62901,1.3802112,1.4313638,-0.05115259999999999,-5.8174353
会再来的,0.00013914226999999998,1.2501552e-07,1112.9999898831277,-7.895408,0.7781513,1.30103,-5.816227,-0.5228786999999999,还会再来,-7.7506876,1.8325089,1.8325089,0.0,-4.0856695
妈妈放心,0.00013689199,1.2501552e-07,1094.9999919292366,-7.247592,0.47712126,1.0791812,-5.6912894,-0.6020599400000001,让妈妈放心,-7.37084,1.0,1.0791812,-0.07918120000000006,-5.291659
情报,0.00013626691,1.2501552e-07,1089.9999924976,-6.5992856,0.0,0.90309,-5.6961956,-0.90309,美食情报,-7.4257216,1.2787536,1.146128,0.1326255999999999,-5.0008397
颜色非常,0.00013339156,1.2501552e-07,1066.9999951120728,-8.169005,0.9542425,1.462398,-5.7523646,-0.5081555000000001,,,,,,
份量很足,0.00013314153,1.2501552e-07,1064.9999953394183,-8.002151,1.3802112,0.845098,-5.776841,0.5351132,,,,,,
不重,0.00012939106000000003,1.2501552e-07,1034.9999987496,-9.513265,2.2455127,1.6334685,-5.634283,0.6120441999999999,不重样,-8.134498,1.1139433,1.3802112,-0.2662678999999999,-5.640343
