,words,1,2,3,dop,l_en,r_en,score,diff_en,raw_words,nomatch
0,不满意,1.6156707e-06,0.0034510726,2135.9999628472256,-8.150177,1.5185139,1.5797836,-5.05188,-0.06126969999999998,,
1,很失望,1.6156707e-06,0.0031925653999999998,1976.0000303977247,-8.425464,1.447158,1.447158,-5.531148,0.0,,
2,不好吃,1.6156707e-06,0.0026884761,1664.0000180134664,-8.933431,1.5682018,1.60206,-5.763169,-0.03385820000000006,,
3,不值这个价,1.6156707e-06,0.0021229913,1313.999949618586,-7.539893,1.6334685,1.5185139,-4.387911,0.1149545999999999,,
4,不建议购买,1.6156707e-06,0.0021116817,1307.0000606547192,-7.8279467,1.447158,1.50515,-4.875639,-0.057992000000000044,,
5,一点都不好,1.6156707e-06,0.0020470547,1266.9999334346119,-8.352473,2.3944516,2.0253057,-3.932716,0.3691458999999999,,
6,面前一不值,1.6156707e-06,0.0020325137,1257.9999732612607,-8.483844,1.0413927,1.8750613,-5.5673895,-0.8336686,不值,
7,质量太差了,1.6156707e-06,0.0018903348,1170.0000104140354,-7.5489755,1.4771212,1.3424227,-4.729431,0.13469850000000005,,
8,太失望了,1.6156707e-06,0.0018871034,1168.0000112584164,-8.507167,1.5563025,1.20412,-5.746744,0.35218249999999984,,
9,质量不好,1.6156707e-06,0.0017206894,1065.0000187171172,-8.304354,1.748188,1.8976271,-4.658539,-0.14943909999999994,,
10,一星都不想给,1.6156707e-06,0.0017077639999999999,1057.0000220946424,,,,,,,
11,上当了,1.6156707e-06,0.0017061482999999999,1055.9999864899,-8.076301,1.146128,1.1139433,-5.816229,0.032184699999999955,,
12,质量差,1.6156707e-06,0.0015672006,970.0000227982936,-7.7754316,1.0413927,1.3802112,-5.3538275,-0.3388184999999999,,
13,不太好用,1.6156707e-06,0.0015397342000000001,952.9999939486012,-8.337747,1.50515,1.7075702,-5.1250267,-0.20242019999999994,,
14,垃圾垃圾垃圾,2.5003104e-07,0.00021811554,872.3538759273563,,,,,,,
15,非常差,1.6156707e-06,0.0013636260999999998,844.0000039404457,-8.034339,1.2552725,1.3424227,-5.4366436,-0.08715019999999996,,
16,还有就,1.6156707e-06,0.0013216187,818.0000149174019,-8.612078,2.3159704,0.47712126,-5.818986,1.8388491399999998,,
17,懒得退了,1.6156707e-06,0.0012731486,788.0000275831205,-7.5477057,0.9542425,0.90309,-5.690373,0.051152500000000045,,
18,一点都不好用,1.6156707e-06,0.001202059,743.999974105642,,,,,,,
19,谁买谁倒霉,2.5003104e-07,0.00017933945,717.2687463091887,-5.8356156,0.69897,0.845098,-4.291548,-0.14612800000000004,,
20,不划算,1.6156707e-06,0.0011374322,703.9999909932668,-8.732424,1.7853298,1.9138138,-5.0332804,-0.12848400000000004,,
21,谁买谁上当,6.250776e-07,0.00043784676,700.4678678569991,,,,,,,
22,一颗星都不想给,1.6156707e-06,0.0011196597,692.9999596104308,,,,,,,
23,垃圾东西,1.6156707e-06,0.0011180441,691.9999960595543,-8.2910385,1.4149734,1.5682018,-5.307863,-0.15322839999999993,,
24,不爽,1.6156707e-06,0.0011002717,680.999964676718,-8.361919,1.3617278,1.5440681,-5.4561234,-0.18234030000000012,,
25,服了,1.6156707e-06,0.0010938089999999998,676.9999663654805,-7.219887,0.69897,0.69897,-5.821947,0.0,,
